Career_Cluster,Career_Role,Required_Skills,Education_Level,Avg_Salary_Range,Job_Outlook,Growth_Path,Learning_Resources
STEM,Data Scientist,Python; Statistics; Machine Learning,Graduation,8-15 LPA,High,Data Analyst > Data Scientist > Senior Data Scientist,Coursera Machine Learning; edX Data Science
Business,Business Analyst,Excel; SQL; Communication,Graduation,5-10 LPA,Medium,Intern > Analyst > Senior Analyst > Manager,LinkedIn Learning Business Analysis; Udemy Power BI
Healthcare,Doctor,Biology; Medicine; Ethics,Post-graduation,10-25 LPA,High,Internship > Resident > Specialist > Consultant,Khan Academy Medicine; Coursera Healthcare Management
IT,Software Developer,Java; Algorithms; System Design,Graduation,6-12 LPA,High,Junior Dev > Developer > Senior Dev > Tech Lead,Codecademy; Leetcode; HackerRank
Arts,Graphic Designer,Creativity; Adobe Photoshop; Illustrator,Graduation,4-8 LPA,Medium,Junior Designer > Designer > Senior Designer > Art Director,Udemy Graphic Design; Skillshare Illustration
Engineering,Mechanical Engineer,CAD; Manufacturing; Problem Solving,Graduation,6-12 LPA,Medium,Intern > Engineer > Senior Engineer > Manager,AutoCAD Courses; SolidWorks Training
Business,Marketing Manager,Marketing; Social Media; Analytics,Graduation,7-14 LPA,High,Marketing Exec > Manager > Senior Manager > Director,Google Digital Marketing; HubSpot Academy
IT,Web Developer,HTML; CSS; JavaScript; React,12th,4-8 LPA,High,Intern > Junior Dev > Developer > Senior Dev,freeCodeCamp; MDN Web Docs; React Documentation
Healthcare,Nurse,Healthcare; Patient Care; Medical Knowledge,Post-graduation,4-8 LPA,High,Staff Nurse > Senior Nurse > Nurse Manager,Nursing Fundamentals; Medical Courses
STEM,Research Scientist,Research; Data Analysis; Scientific Writing,PhD,8-18 LPA,Medium,Research Assistant > Scientist > Senior Scientist,Nature Courses; Research Methods
Arts,UI/UX Designer,Design Thinking; Figma; User Research,Graduation,5-12 LPA,High,Junior Designer > Designer > Senior Designer > Lead,Figma Academy; Google UX Design
Engineering,Civil Engineer,Construction; AutoCAD; Project Management,Graduation,5-10 LPA,Medium,Junior Engineer > Engineer > Project Manager,Civil Engineering Courses; PMP Certification
Business,Sales Manager,Sales; Communication; CRM,Graduation,6-15 LPA,High,Sales Executive > Manager > Regional Manager,Salesforce Training; Sales Methodology
IT,Data Analyst,SQL; Excel; Python; Tableau,Graduation,4-8 LPA,High,Analyst > Senior Analyst > Data Scientist,Tableau Training; SQL Courses; Python for Data
Design,Product Designer,Design; Prototyping; User Testing,Graduation,6-14 LPA,High,Junior Designer > Designer > Senior Designer > Design Lead,Adobe XD; Sketch; InVision
Consulting,Management Consultant,Strategy; Analysis; Presentation,Post-graduation,12-25 LPA,High,Analyst > Consultant > Senior Consultant > Manager,McKinsey Insights; BCG Training
Service,Customer Service Manager,Communication; Problem Solving; Leadership,Graduation,4-8 LPA,Medium,Representative > Supervisor > Manager,Customer Service Training; Leadership Skills
Research,Academic Researcher,Research; Writing; Analysis,PhD,6-15 LPA,Medium,PhD > Post-doc > Assistant Professor > Professor,Academic Writing; Research Methods
Sales,Sales Executive,Sales; Negotiation; Product Knowledge,12th,3-8 LPA,High,Executive > Senior Executive > Manager,Sales Training; Product Knowledge
STEM,Biotechnology Researcher,Biology; Lab Skills; Research,Post-graduation,6-12 LPA,Medium,Research Assistant > Researcher > Senior Researcher,Biotechnology Courses; Lab Techniques
Business,Financial Analyst,Finance; Excel; Financial Modeling,Graduation,6-12 LPA,High,Analyst > Senior Analyst > Manager,CFA; Financial Modeling; Bloomberg
Healthcare,Pharmacist,Pharmacy; Medicine; Patient Care,Post-graduation,6-12 LPA,Medium,Staff Pharmacist > Senior Pharmacist > Manager,Pharmaceutical Sciences; Drug Information
IT,Cybersecurity Analyst,Security; Networking; Risk Assessment,Graduation,8-16 LPA,High,Analyst > Senior Analyst > Security Manager,CISSP; Ethical Hacking; Security+
Arts,Content Writer,Writing; SEO; Content Strategy,Graduation,3-7 LPA,Medium,Writer > Senior Writer > Content Manager,Content Marketing; SEO Training; Writing Skills
Engineering,Electrical Engineer,Electronics; Circuit Design; Programming,Graduation,6-12 LPA,Medium,Junior Engineer > Engineer > Senior Engineer,Circuit Design; MATLAB; Electronics
Business,Human Resources Manager,HR; Recruitment; Employee Relations,Graduation,6-12 LPA,Medium,HR Executive > Manager > Senior Manager,HR Certification; Recruitment Training
IT,Mobile App Developer,Mobile Development; Java/Swift; UI Design,Graduation,6-14 LPA,High,Junior Dev > Developer > Senior Dev > Lead,Android Development; iOS Development
Design,Fashion Designer,Fashion; Creativity; Textile Knowledge,Graduation,4-10 LPA,Medium,Assistant Designer > Designer > Senior Designer,Fashion Design Courses; Textile Studies
