Question_ID,Test_Type,Education_Level,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Category,Weight,Trait_Measured
FP001,Personality,Foundation,I enjoy meeting new people and making friends at school/college,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Social,1,Extraversion
FP002,Personality,Foundation,I prefer studying alone rather than in groups,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Social,1,Extraversion
FP003,Personality,Foundation,I feel confident speaking in front of my classmates,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Social,1,Extraversion
FP004,Personality,Foundation,I often volunteer to lead group projects or activities,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Leadership,1,Extraversion
FP005,Personality,Foundation,I keep my room and study space well organized,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Organization,1,Conscientiousness
FP006,Personality,Foundation,I complete my homework and assignments on time,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Discipline,1,Conscientiousness
FP007,Personality,Foundation,I often forget to bring my books or stationery to school,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Organization,1,Conscientiousness
FP008,Personality,Foundation,I enjoy learning about different cultures and places,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Cultural,1,Openness
FP009,Personality,Foundation,I like trying new activities and hobbies,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Curiosity,1,Openness
FP010,Personality,Foundation,I prefer familiar activities rather than trying something new,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Curiosity,1,Openness
FP011,Personality,Foundation,I try to help classmates who are struggling with their studies,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Empathy,1,Agreeableness
FP012,Personality,Foundation,I get along well with most of my classmates,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Cooperation,1,Agreeableness
FP013,Personality,Foundation,I often argue with others about small things,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Conflict,1,Agreeableness
FP014,Personality,Foundation,I worry a lot about my exam results,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Anxiety,1,Neuroticism
FP015,Personality,Foundation,I remain calm even during stressful situations like exams,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Calm,1,Neuroticism
FP016,Personality,Foundation,My mood changes quickly from happy to sad,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Mood,1,Neuroticism
FP017,Personality,Foundation,I bounce back quickly from setbacks or failures,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Resilience,1,Neuroticism
FP018,Personality,Foundation,I enjoy creative activities like art music or writing,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Creativity,1,Openness
FP019,Personality,Foundation,I pay attention to details in my work and assignments,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,,Precision,1,Conscientiousness
FS001,Skills,Foundation,Which of these is used to browse the internet?,Microsoft Word,Chrome/Firefox,Calculator,Notepad,Paint,B,Digital,1,Basic Computer Skills
