username,education_level,Question_ID,Answer
inter01,Intermediate,IP001,Strongly Disagree
inter01,Intermediate,IP002,Strongly Disagree
inter01,Intermediate,IP003,Neutral
inter01,Intermediate,IP004,Disagree
inter01,Intermediate,IP005,Disagree
inter01,Intermediate,IP006,Disagree
inter01,Intermediate,IP007,Strongly Disagree
inter01,Intermediate,IP008,Strongly Agree
inter01,Intermediate,IP009,Strongly Disagree
inter01,Intermediate,IP010,Strongly Agree
inter01,Intermediate,IS001,D
inter01,Intermediate,IS002,A
inter01,Intermediate,IS003,A
inter01,Intermediate,IS004,A
inter01,Intermediate,IS005,B
inter01,Intermediate,IS006,B
inter01,Intermediate,IS007,A
inter01,Intermediate,IS008,B
inter01,Intermediate,IS009,D
inter01,Intermediate,IS010,B
inter01,Intermediate,IC001,D
inter01,Intermediate,IC002,C
inter01,Intermediate,IC003,A
inter01,Intermediate,IC004,B
inter01,Intermediate,IC005,D
inter01,Intermediate,IC006,C
inter01,Intermediate,IC007,C
inter01,Intermediate,IC008,B
inter01,Intermediate,IC009,B
inter01,Intermediate,IC010,C
inter01,Intermediate,IT001,A
inter01,Intermediate,IT002,A
inter01,Intermediate,IT003,D
inter01,Intermediate,IT004,A
inter01,Intermediate,IT005,C
inter01,Intermediate,IT006,C
inter01,Intermediate,IT007,C
inter01,Intermediate,IT008,A
inter01,Intermediate,IT009,D
inter01,Intermediate,IT010,A
inter01,Intermediate,IV001,D
inter01,Intermediate,IV002,A
inter01,Intermediate,IV003,C
inter01,Intermediate,IV004,C
inter01,Intermediate,IV005,B
inter01,Intermediate,IV006,A
inter01,Intermediate,IV007,A
inter01,Intermediate,IV008,B
inter01,Intermediate,IV009,C
inter01,Intermediate,IV010,A
inter02,Intermediate,IP001,Agree
inter02,Intermediate,IP002,Neutral
inter02,Intermediate,IP003,Strongly Agree
inter02,Intermediate,IP004,Strongly Agree
inter02,Intermediate,IP005,Neutral
inter02,Intermediate,IP006,Agree
inter02,Intermediate,IP007,Disagree
inter02,Intermediate,IP008,Neutral
inter02,Intermediate,IP009,Agree
inter02,Intermediate,IP010,Disagree
inter02,Intermediate,IS001,C
inter02,Intermediate,IS002,B
inter02,Intermediate,IS003,C
inter02,Intermediate,IS004,D
inter02,Intermediate,IS005,A
inter02,Intermediate,IS006,C
inter02,Intermediate,IS007,D
inter02,Intermediate,IS008,C
inter02,Intermediate,IS009,A
inter02,Intermediate,IS010,A
inter02,Intermediate,IC001,B
inter02,Intermediate,IC002,A
inter02,Intermediate,IC003,D
inter02,Intermediate,IC004,C
inter02,Intermediate,IC005,A
inter02,Intermediate,IC006,A
inter02,Intermediate,IC007,D
inter02,Intermediate,IC008,A
inter02,Intermediate,IC009,A
inter02,Intermediate,IC010,B
inter02,Intermediate,IT001,B
inter02,Intermediate,IT002,D
inter02,Intermediate,IT003,B
inter02,Intermediate,IT004,C
inter02,Intermediate,IT005,B
inter02,Intermediate,IT006,A
inter02,Intermediate,IT007,D
inter02,Intermediate,IT008,C
inter02,Intermediate,IT009,B
inter02,Intermediate,IT010,C
inter02,Intermediate,IV001,B
inter02,Intermediate,IV002,C
inter02,Intermediate,IV003,A
inter02,Intermediate,IV004,A
inter02,Intermediate,IV005,C
inter02,Intermediate,IV006,D
inter02,Intermediate,IV007,C
inter02,Intermediate,IV008,A
inter02,Intermediate,IV009,A
inter02,Intermediate,IV010,D
